tekst,type,leerplandoel_code,referentie,evalueerbaar,scores
Ik gebruik het verband tussen de optelling en de aftrekking.,succescriterium,6.1,999.0,ja,"A+: Ik gebruik het verband tussen de optelling en de aftrekking en gebruik spontaan de correcte verwoording.###A: Ik gebruik het verband tussen de optelling en de aftrekking en ken de verwoording als mij dat gevraagd wordt.###B: Ik gebruik het verband tussen de optelling en de aftrekking maar verwoord het nog niet correct.###C: Ik gebruik het verband tussen de optelling en de aftrekking nog niet correct."
Ik kan breuken optellen en aftrekken en verwoord de rekenregel correct.,succescriterium,6.1,999.0,ja,"A+: Ik kan breuken optellen en aftrekken en gebruik spontaan de correcte verwoordingen van de rekenregel.###A: Ik kan breuken optellen en aftrekken en ken de verwoording van de rekenregel als mij dat gevraagd wordt.###B: Ik kan breuken optellen en aftrekken maar verwoord de rekenregel nog niet correct.###C: Ik kan breuken nog niet optellen en aftrekken."
Ik gebruik het verband tussen de vermenigvuldiging en de deling.,succescriterium,6.1,999.0,ja,"A+: Ik gebruik het verband tussen de vermenigvuldiging en de deling en gebruik spontaan de correcte verwoording.###A: Ik gebruik het verband tussen de vermenigvuldiging en de deling en ken de verwoording als mij dat gevraagd wordt.###B: Ik gebruik het verband tussen de vermenigvuldiging en de deling maar verwoord het nog niet correct.###C: Ik gebruik het verband tussen de vermenigvuldiging en de deling nog niet correct."
Ik kan positieve en negatieve breuken vermenigvuldigen en delen en verwoord de rekenregels correct.,succescriterium,6.1,999.0,ja,"A+: Ik kan positieve en negatieve breuken vermenigvuldigen en delen en gebruik spontaan de correcte verwoordingen van de rekenregels.###A: Ik kan positieve en negatieve breuken vermenigvuldigen en delen en ken de verwoording van de rekenregels als mij dat gevraagd wordt.###B: Ik kan positieve en negatieve breuken vermenigvuldigen en delen maar verwoord de rekenregels niet correct.###C: Ik kan positieve en negatieve breuken nog niet vermenigvuldigen en delen."
"Ik gebruik de begrippen bij bewerkingen en breuken correct: optelling, termen, som, aftrekking, aftrektal, aftrekker, verschil, vermenigvuldiging, factoren, product, deling, deeltal, deler, quotiënt, teller, noemer, breukstreep, tegengestelde, omgekeerde.",succescriterium,6.1,999.0,ja,"A+: Ik gebruik altijd spontaan de correcte begrippen.###A: Ik gebruik meestal de correcte begrippen en kan mezelf corrigeren als iemand mij daarop wijst.###B: Ik gebruik meestal de correcte begrippen, maar ken er een aantal niet.###C: Ik gebruik de correcte begrippen meestal nog niet."
Ik kan machten van rationale getallen berekenen.,succescriterium,6.1,999.0,ja,"A+: Ik kan machten van rationale getallen berekenen en gebruik spontaan de correcte verwoordingen van de rekenregels.###A: Ik kan machten van rationale getallen berekenen en ken de verwoording van de rekenregels als mij dat gevraagd wordt.###B: Ik kan machten van rationale getallen berekenen maar verwoord de rekenregels nog niet correct.###C: Ik kan machten van rationale getallen nog niet berekenen."
Ik kan het teken van een macht afleiden uit de opgave.,succescriterium,6.1,999.0,ja,"A+: Ik kan het teken van een macht afleiden uit de opgave en gebruik spontaan de correcte verwoordingen van de rekenregels.###A: Ik kan het teken van een macht afleiden uit de opgave en ken de verwoording van de rekenregels als mij dat gevraagd wordt.###B: Ik kan het teken van een macht afleiden uit de opgave maar verwoord de rekenregels nog niet correct.###C: Ik kan het teken van een macht nog niet afleiden uit de opgave."
"Ik gebruik de begrippen bij machten correct: macht, grondtal, exponent, vermenigvuldiging, factor, tegengestelde.",succescriterium,6.1,999.0,ja,"A+: Ik gebruik altijd spontaan de correcte begrippen.###A: Ik gebruik meestal de correcte begrippen en kan mezelf corrigeren als iemand mij daarop wijst.###B: Ik gebruik meestal de correcte begrippen, maar ken er een aantal niet.###C: Ik gebruik de correcte begrippen meestal nog niet."
Ik herleid lettervormen en verwoord de rekenregel correct.,succescriterium,6.12,999.0,ja,"A+: Ik kan lettervormen herleiden en gebruik spontaan de correcte verwoordingen van de rekenregel.###A: Ik kan lettervormen herleiden en ken de verwoording van de rekenregel als mij dat gevraagd wordt.###B: Ik kan lettervormen herleiden maar verwoord de rekenregels niet correct.###C: Ik kan lettervormen nog niet herleiden."
Ik vermenigvuldig lettervormen met een getal en verwoord de rekenregel correct.,succescriterium,6.12,999.0,ja,"A+: Ik kan een lettervorm vermenigvuldigen met een getal en gebruik spontaan de correcte verwoordingen van de rekenregels.###A: Ik kan een lettervorm vermenigvuldigen met een getal en ken de verwoording van de rekenregel als mij dat gevraagd wordt.###B: Ik kan een lettervorm vermenigvuldigen met een getal maar verwoord de rekenregels niet correct.###C: Ik kan een lettervorm nog niet vermenigvuldigen met een getal."
"Ik gebruik de begrippen bij lettervormen correct: coëfficiënt, letterdeel.",succescriterium,6.12,999.0,ja,"A+: Ik gebruik altijd spontaan de correcte begrippen.###A: Ik gebruik meestal de correcte begrippen en kan mezelf corrigeren als iemand mij daarop wijst.###B: Ik gebruik meestal de correcte begrippen, maar ken er een aantal niet.###C: Ik gebruik de correcte begrippen meestal nog niet."
